iter	Passed	Remaining
501	1351	1341
502	1353	1337
503	1355	1333
504	1356	1329
505	1358	1326
506	1359	1322
507	1361	1318
508	1363	1314
509	1365	1312
510	1367	1308
511	1369	1304
512	1370	1301
513	1372	1297
514	1374	1294
515	1375	1290
516	1377	1286
517	1381	1285
518	1383	1281
519	1385	1278
520	1387	1275
521	1389	1271
522	1391	1268
523	1392	1265
524	1396	1263
525	1398	1259
526	1400	1256
527	1402	1253
528	1403	1249
529	1406	1246
530	1409	1245
531	1411	1241
532	1413	1238
533	1415	1234
534	1416	1231
535	1418	1228
536	1420	1224
537	1422	1221
538	1424	1218
539	1426	1215
540	1428	1211
541	1429	1207
542	1431	1204
543	1432	1200
544	1434	1197
545	1436	1194
546	1438	1191
547	1440	1188
548	1442	1184
549	1443	1181
550	1445	1177
551	1447	1174
552	1448	1171
553	1450	1167
554	1452	1164
555	1453	1160
556	1456	1158
557	1457	1154
558	1458	1150
559	1460	1147
560	1462	1144
561	1464	1141
562	1465	1137
563	1467	1134
564	1469	1131
565	1471	1128
566	1473	1125
567	1474	1121
568	1476	1118
569	1478	1115
570	1479	1111
571	1481	1108
572	1483	1105
573	1485	1102
574	1487	1099
575	1488	1095
576	1490	1092
577	1492	1089
578	1493	1086
579	1495	1082
580	1496	1079
581	1498	1076
582	1500	1073
583	1502	1070
584	1504	1066
585	1505	1063
586	1507	1060
587	1508	1056
588	1509	1053
589	1511	1050
590	1512	1047
591	1516	1044
592	1518	1042
593	1519	1038
594	1521	1035
595	1522	1032
596	1524	1029
597	1526	1026
598	1528	1023
599	1532	1021
600	1534	1018
601	1536	1015
602	1537	1012
603	1538	1008
604	1540	1005
605	1541	1002
606	1554	1006
607	1557	1004
608	1565	1005
609	1568	1003
610	1571	1000
611	1580	1002
612	1584	1000
613	1587	997
614	1589	994
615	1591	991
616	1598	992
617	1601	989
618	1602	986
619	1604	983
620	1605	979
621	1607	976
622	1609	974
623	1611	971
624	1613	968
625	1614	964
626	1616	961
627	1618	958
628	1620	955
629	1622	953
630	1624	950
631	1626	947
632	1628	944
633	1630	941
634	1632	938
635	1634	935
636	1635	932
637	1637	929
638	1639	926
639	1641	923
640	1642	920
641	1644	916
642	1647	914
643	1648	911
644	1650	908
645	1653	905
646	1655	903
647	1657	900
648	1659	897
649	1661	894
650	1662	891
651	1664	888
652	1666	885
653	1668	882
654	1670	879
655	1671	876
656	1673	873
657	1675	870
658	1676	867
659	1678	864
660	1680	861
661	1681	858
662	1683	855
663	1685	852
664	1686	849
665	1688	846
666	1690	843
667	1692	840
668	1693	837
669	1695	834
670	1696	831
671	1698	829
672	1700	826
673	1702	823
674	1704	820
675	1705	817
676	1707	814
677	1708	811
678	1710	808
679	1712	806
680	1714	803
681	1716	800
682	1718	797
683	1719	794
684	1721	791
685	1722	788
686	1724	785
687	1726	782
688	1728	780
689	1730	777
690	1731	774
691	1733	771
692	1735	768
693	1737	765
694	1738	763
695	1740	760
696	1741	757
697	1743	754
698	1746	752
699	1748	749
700	1749	746
701	1751	743
702	1753	741
703	1755	738
704	1757	735
705	1759	732
706	1761	730
707	1763	727
708	1765	724
709	1766	721
710	1768	718
711	1770	716
712	1771	713
713	1774	710
714	1775	707
715	1777	705
716	1779	702
717	1781	699
718	1782	696
719	1784	693
720	1786	691
721	1789	688
722	1790	686
723	1792	683
724	1794	680
725	1796	678
726	1798	675
727	1801	672
728	1803	670
729	1804	667
730	1806	664
731	1808	662
732	1810	659
733	1811	656
734	1813	653
735	1815	651
736	1817	648
737	1819	645
738	1821	643
739	1823	640
740	1824	637
741	1826	635
742	1828	632
743	1830	629
744	1832	627
745	1835	624
746	1837	622
747	1838	619
748	1840	616
749	1842	614
750	1844	611
751	1846	609
752	1849	606
753	1851	603
754	1852	601
755	1855	598
756	1857	596
757	1859	593
758	1860	590
759	1863	588
760	1866	586
761	1868	583
762	1871	581
763	1874	579
764	1876	576
765	1879	574
766	1881	571
767	1883	569
768	1885	566
769	1887	563
770	1889	561
771	1890	558
772	1893	555
773	1895	553
774	1896	550
775	1898	548
776	1900	545
777	1902	542
778	1903	540
779	1905	537
780	1906	534
781	1909	532
782	1910	529
783	1912	526
784	1914	524
785	1917	521
786	1919	519
787	1922	517
788	1925	514
789	1927	512
790	1929	509
791	1930	507
792	1932	504
793	1934	501
794	1937	499
795	1940	497
796	1942	494
797	1944	492
798	1946	489
799	1948	487
800	1950	484
801	1953	482
802	1956	480
803	1958	477
804	1960	474
805	1961	472
806	1963	469
807	1965	466
808	1966	464
809	1970	462
810	1972	459
811	1973	457
812	1975	454
813	1977	451
814	1978	449
815	1980	446
816	1982	443
817	1984	441
818	1985	438
819	1987	436
820	1989	433
821	1990	431
822	1992	428
823	1993	425
824	1994	423
825	1996	420
826	1999	418
827	2000	415
828	2002	413
829	2004	410
830	2005	407
831	2006	405
832	2008	402
833	2009	400
834	2011	397
835	2013	395
836	2015	392
837	2017	389
838	2018	387
839	2019	384
840	2021	382
841	2022	379
842	2024	377
843	2025	374
844	2027	371
845	2029	369
846	2031	366
847	2033	364
848	2034	361
849	2036	359
850	2037	356
851	2039	354
852	2041	351
853	2043	349
854	2044	346
855	2045	344
856	2047	341
857	2048	339
858	2050	336
859	2051	334
860	2053	331
861	2055	329
862	2058	326
863	2060	324
864	2062	321
865	2063	319
866	2065	316
867	2066	314
868	2067	311
869	2069	309
870	2071	306
871	2073	304
872	2074	301
873	2076	299
874	2077	296
875	2078	294
876	2080	291
877	2081	289
878	2082	286
879	2084	284
880	2087	281
881	2088	279
882	2089	276
883	2090	274
884	2092	271
885	2093	269
886	2095	266
887	2096	264
888	2097	261
889	2099	259
890	2101	257
891	2103	254
892	2105	252
893	2106	249
894	2107	247
895	2109	244
896	2110	242
897	2111	239
898	2113	237
899	2114	234
900	2116	232
901	2117	230
902	2120	227
903	2122	225
904	2123	222
905	2124	220
906	2125	217
907	2127	215
908	2128	213
909	2130	210
910	2133	208
911	2134	205
912	2135	203
913	2137	201
914	2138	198
915	2139	196
916	2141	193
917	2142	191
918	2143	188
919	2144	186
920	2146	184
921	2148	181
922	2151	179
923	2153	177
924	2155	174
925	2156	172
926	2157	169
927	2159	167
928	2162	165
929	2164	162
930	2166	160
931	2167	158
932	2168	155
933	2170	153
934	2171	150
935	2172	148
936	2174	146
937	2176	143
938	2178	141
939	2179	139
940	2181	136
941	2183	134
942	2184	132
943	2185	129
944	2186	127
945	2188	124
946	2189	122
947	2192	120
948	2193	117
949	2195	115
950	2196	113
951	2197	110
952	2199	108
953	2200	106
954	2201	103
955	2203	101
956	2204	99
957	2207	96
958	2208	94
959	2210	92
960	2212	89
961	2213	87
962	2214	85
963	2216	82
964	2217	80
965	2219	78
966	2220	75
967	2222	73
968	2224	71
969	2225	68
970	2227	66
971	2228	64
972	2229	61
973	2231	59
974	2232	57
975	2234	54
976	2235	52
977	2238	50
978	2240	48
979	2241	45
980	2242	43
981	2244	41
982	2245	38
983	2246	36
984	2247	34
985	2249	31
986	2251	29
987	2253	27
988	2295	25
989	2302	23
990	2304	20
991	2308	18
992	2310	16
993	2313	13
994	2319	11
995	2321	9
996	2324	6
997	2325	4
998	2326	2
999	2327	0
